,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Q_dot_evp,-1.09020656763369,-0.0470412952898818,0.0059406461469626,-0.000802838192654161,0.000106202212200564,-4.22721486122277E-08,2.96629484665686E-11,1.01394689001999E-09,-4.68033750105184E-05,-8.25862387064077E-07,-1.02147592612313E-07,0.000203840889048184,4.38664894956921E-06,1.96028270909935E-06,-4.57771656165133E-06,-6.70568846872314E-07,0.157267404034142,0.00693937708580305,-0.0012085691356971,0.00011466103780872,-6.91859643829157E-06,5.69305669754785E-07,4.70536592639221E-08,-0.000130562844336646,-5.15251335965899E-06,-1.00389692702624E-06,-8.75338091654599E-08,5.64165029582093E-08,-6.01909892442312E-10,-3.79815684944662E-10
W_dot,-0.843113689592927,-0.0210405098314484,0.042650990621155,0.000270463139927508,-0.00100395892249745,3.00461719584613E-07,-1.18488486533021E-09,-3.85120259661882E-09,-2.02356929311534E-05,3.37589005632437E-07,4.39839144369051E-07,0.000875833237836423,-5.03405202697042E-06,-1.13915459003408E-05,4.18012033061562E-06,7.31148769048058E-06,0.0523360172519618,0.000718196884428699,-0.00157665001963083,-1.84768387140592E-05,4.3671681221827E-05,-1.98669891306697E-07,-3.25730023125187E-07,-0.000348857732435788,-6.79447104736196E-06,1.92883294835219E-05,6.47283124453188E-08,-4.27137637865833E-07,9.46508126290881E-10,3.00240102958029E-09
m_dot,-18.9874427179733,-0.73603388087513,-0.0206044473389505,-0.0107187919205841,0.0016801124269439,-2.09559409670849E-06,-1.85651820642575E-08,2.25685947193743E-08,6.5579955853548E-06,-3.72331922866868E-06,-2.25347459634429E-06,-0.00255595093183078,-2.54923028536913E-05,3.59671330744755E-05,-7.26163775281362E-05,-3.78972246188544E-06,2.72314632505168,0.11029856704305,-0.00272132308932766,0.00165470678438459,-0.000128031587635803,8.9603136911848E-06,7.38876689797311E-08,-0.00213353580327322,-6.6529979160685E-05,-4.54073565369609E-05,-8.47774629297152E-07,1.17737452400464E-06,-9.33607773265032E-09,-6.89288922024984E-09
