,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
Q_dot_evp,38.410000463592,1.150263604060,-0.093497232547,0.008052192191,0.002604648561,-0.003013621745,-0.000050138662,0.000068742737,-0.000108045443,0.000003909236
W_dot,3.092205532917,0.089317512756,0.077185579280,0.003427336294,-0.002492843809,0.000052369621,0.000050927025,-0.000061443112,0.000018126171,0.000015944185
I,8.748448484653,0.137372021184,0.064156958025,0.005156789302,-0.004110541671,0.000366244455,0.000073690636,-0.000094676018,0.000033438203,0.000025804928
m_dot,181.511347558803,4.997398754733,0.436447415369,0.023217906607,0.044152224508,-0.005552529370,-0.000360861928,0.000749538067,-0.000371944840,-0.000089735401
