,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Q_dot_evp,-0.451317476058242,-0.0293510505530544,-0.0133932074674328,-0.000907346838413622,0.000385771546941567,-1.13023178430472E-07,1.59887293129728E-09,1.40381897181309E-09,-1.05094310258006E-05,-7.55429536455635E-07,-2.98123166097336E-07,-6.5463208705662E-05,7.18301418843482E-06,3.5790174379769E-06,-9.41781097862278E-06,-2.17755776528392E-06,0.0861298434673479,0.00451543927118804,0.000498472262344855,0.000109994355915388,-2.96997261737095E-05,9.98348984749231E-07,1.76657899348817E-07,4.35337583689767E-05,-1.28372343685421E-06,-7.63395500801519E-06,-1.63086319824607E-07,1.49825579925804E-07,-2.34044755002102E-09,-7.95710405625652E-10
W_dot,-0.793671699230689,-0.0606477952498638,0.0480245330252919,-0.00127516438768903,-0.0011550604587886,6.7062213339511E-07,8.1736019716437E-09,-7.36746074041806E-09,-7.89172576016636E-05,-1.02251146226004E-06,9.95687806357306E-07,0.00266463538887885,3.00679957541485E-05,-2.94673118430101E-05,-5.6162009206202E-06,8.424746666015E-06,0.0352321268125959,0.00190013129366368,-0.00112065090518682,3.66225801094966E-05,3.33568925511594E-05,1.77675755976956E-07,-2.55952670047829E-07,-0.000338890202717978,-1.5312098754932E-05,2.0515420865942E-05,-3.36659354326599E-07,-4.56093756195865E-07,-1.66439496057165E-09,3.16891303896899E-09
m_dot,-7.12633325254778,-0.398201820597609,-0.313665986099163,-0.0139485062521968,0.00598689438550813,-2.94050630222044E-06,2.24044435987191E-08,2.64539653443087E-08,0.000501433561280523,-2.31452242167453E-06,-6.28251496839097E-06,-0.00679259478988755,5.33182030337161E-05,7.56723057792533E-05,-0.00018928268796334,-2.37442504647178E-05,1.41188832890667,0.0657812258406282,0.0208411870847584,0.00159719836751027,-0.000487349523207295,1.90203113180728E-05,1.99088462366077E-06,0.000904063714851194,1.56109834937309E-06,-0.000138500395711351,-2.82235640193756E-06,2.19308908914368E-06,-5.12495645566446E-08,-8.42310290856969E-09
