,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Q_dot_evp,-2.61085954393163,-0.121492737001702,0.15717118785711,-0.00189465311272865,-0.00433827689440001,2.22866275897599E-06,2.11958169764288E-08,-2.68579448019139E-08,-0.00038651842012703,-4.40209318742145E-06,3.09392675331237E-06,0.00675571897375154,6.35048440819736E-05,-8.46976035468996E-05,-6.78437282823614E-06,3.01920839311124E-05,0.642142185254229,0.0249887539886137,-0.00976602948076951,0.00036075660845801,0.000163905906865979,1.67686686485957E-06,-1.29389740153917E-06,-0.00085868861135362,-4.63151327867859E-05,5.19233917337157E-05,-7.22803339975544E-07,-1.23594595140315E-06,-2.05257992845442E-09,8.87762094223063E-09
W_dot,-0.0510008029915045,-0.00627081098523233,0.026637305915047,0.000134615544145133,-0.000600551806279261,7.55577445121851E-07,5.5117567009255E-09,-9.42862376701068E-09,2.13182227304396E-05,5.84239406674341E-07,8.82160571921656E-08,1.17590593204398E-05,-9.34534421718054E-06,-3.33772851109456E-06,6.84609987765615E-06,9.56060132255551E-06,0.00408177812942442,-0.00157624263293798,0.000845136178848746,-3.47352553842851E-05,2.79487818805692E-05,-5.05989112054401E-07,-1.50646588808194E-07,0.00019289782866749,-6.57949567184691E-06,2.0939958175754E-05,-3.06694589040138E-07,-6.2960351008817E-07,-3.88727115156626E-10,4.8237389749116E-09
I,-4.11360116588165,-0.23393711604789,0.451906572156056,0.000191647683986378,-0.0123894952907078,4.42809334147776E-06,-1.77898861043094E-08,-5.98398354518971E-08,-0.000415047206606624,3.68289157172742E-06,6.24041901744677E-06,0.0120452341607815,-5.93118423893928E-05,-0.000163040412308856,2.47584965390687E-05,0.000115574575249729,0.212602359901628,0.00519612913183553,-0.0163214914325562,-6.77180151051115E-05,0.000555088488568002,-6.37477327237436E-07,-4.67388667555328E-06,-0.00121099326112656,-6.18435886065039E-05,0.000178389836424711,-4.48981475058371E-07,-5.13776339041476E-06,-6.80027386095491E-09,4.24154189463633E-08
m_dot,-35.8588337081326,-1.82651655500189,2.06961795519914,-0.0267502611882816,-0.0545926507322809,3.38104752156004E-05,2.94667821216458E-07,-4.18124104659827E-07,-0.00429997376734695,-3.99170908206231E-05,5.18387596489818E-05,0.103815741124272,0.000932586207631576,-0.00129057704594036,-7.64017654558137E-05,0.00028279320410873,8.3085162938909,0.319580016868694,-0.0900859547394548,0.00439416000377571,0.00215490356075127,2.51676931861956E-05,-1.41710820764857E-05,-0.0119143642284115,-0.000679143829958232,0.000699153714192279,-9.54484677256029E-06,-1.61861760546969E-05,-2.1677358034168E-08,1.04224321948551E-07
T_dis,10.5566272166898,-2.36708085774486,2.09419961932263,-0.0260434911045758,-0.0204817118470486,1.35804013607088E-05,1.76346436975917E-07,-2.51212317647335E-07,-0.00223015711611213,-3.35420778623216E-05,4.40196871445493E-05,0.0913637362579547,0.0023391764654418,-0.00220502580504044,-0.00124816815810807,0.000478090635866891,0.19652971623792,0.0394992528814472,-0.0149520064793432,0.000506300816856856,0.000483800448207065,1.73236808054213E-05,-9.82999620529295E-06,-2.28606920469157E-05,-0.000273371615580477,7.57961312527003E-05,-2.14173953851359E-06,-2.92322868574706E-06,-8.97482110679611E-08,5.66946697706266E-08
