,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Q_dot_evp,-1.02910780872846,-0.00155693466558232,0.0176580632384554,0.000529718207112908,-0.000547676970659467,3.91116820477503E-07,2.443414331775E-09,-4.92209680644443E-09,-0.000173552098477008,-2.81412219039513E-06,-4.0114080299273E-07,0.000329763230927663,6.98793504746521E-07,-8.78987584430254E-06,2.63418860578499E-06,2.91562004479947E-06,0.841019636620751,0.0283947837771526,-0.00607001118291022,0.000374094518501431,7.42324109257118E-06,1.93814170436613E-06,-2.18155980773439E-07,-0.000668803289702599,-1.27786440261343E-05,1.73773317750576E-05,9.28685183934684E-08,-1.70543116351775E-07,1.02016210618723E-09,2.34108987420608E-10
W_dot,0.491196914407664,0.0729695633442799,-0.0191479833844308,0.00260878166526847,0.000344678843311485,-2.17201064021178E-06,-3.8198946869014E-08,2.06371307661769E-08,0.000290192421440889,4.79006855365547E-06,-2.77593018937346E-06,-0.00326543189764178,-6.62246354505833E-05,3.6332912744065E-05,3.31495689074598E-05,1.99790520635946E-06,-0.033700005209922,-0.00802452760608098,0.00524615396801483,-0.000236669465553434,-5.6987856236855E-05,-2.5382957535539E-06,5.4806183479812E-07,0.000843403718004667,6.6412444088817E-05,-2.32267634284186E-05,1.91222568994745E-06,3.52421432313888E-07,2.10198339596435E-08,-2.51088451265406E-09
m_dot,-13.9700337382778,0.0865233056594693,-0.0946475068100716,0.0223826273135762,0.00339512361840087,6.36849891860859E-06,-6.20021684962869E-08,-1.11981150085229E-07,-0.000187791077367893,8.94554108190139E-06,4.51737651627836E-06,0.0054173215381068,-0.000291514754190214,-0.000192572611778834,0.000159414430329634,-0.00012655706104306,12.5839802267301,0.40214491014866,0.00148886828824362,0.00441854882925905,-0.00042748828983281,3.22001315631817E-05,4.48246682519988E-06,-0.00967980838445888,-0.000165370908748665,0.000117859224014552,6.49822461960611E-06,2.02081474630064E-06,5.24917234401775E-08,-4.49864624822711E-08
