T_out,heating_cap,input_power
35,4.5,0.6
34,4.5,0.61
33,4.5,0.61
32,4.5,0.62
31,4.5,0.63
30,4.5,0.63
29,4.5,0.64
28,4.5,0.65
27,4.5,0.65
26,4.5,0.66
25,4.5,0.67
24,4.5,0.68
23,4.5,0.69
22,4.5,0.69
21,4.5,0.7
20,4.5,0.71
19,4.5,0.73
18,4.5,0.74
17,4.5,0.76
16,4.5,0.78
15,4.5,0.8
14,4.5,0.82
13,4.5,0.84
12,4.5,0.86
11,4.5,0.89
10,4.5,0.91
9,4.5,0.94
8,4.5,0.97
7,4.5,1
6,4.5,1.03
5,4.5,1.06
4,4.5,1.21
3,4.5,1.3
2,4.5,1.39
1,4.46,1.4
0,4.41,1.41
-1,4.37,1.42
-2,4.32,1.43
-3,4.28,1.44
-4,4.23,1.44
-5,4.19,1.45
-6,4.14,1.46
-7,4.1,1.47
-8,4.05,1.47
-9,3.99,1.47
-10,3.94,1.47
-11,3.89,1.47
-12,3.83,1.46
-13,3.78,1.46
-14,3.73,1.46
-15,3.67,1.46
-16,3.51,1.44
-17,3.35,1.43
-18,3.19,1.41
-19,3.03,1.39
-20,2.87,1.37
