time,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180322:1200,6.29,93.7,79,0,79,337.8,4,288,101659
20180322:1300,6.27,93.7,95,0,95,339.4,3.59,288,101609
20180322:1400,6.46,92.8,88,0,88,340.6,3.79,286,101579
20180322:1500,6.63,92.25,83,0,83,339.4,3.45,284,101519
20180322:1600,6.95,90.6,83,3.59,82,340.8,3.17,283,101479
20180322:1700,6.95,90.3,56,89.81,45,340.8,2.55,279,101429
20180322:1800,6.81,91.2,0,0,0,338.2,2.34,266,101399
20180322:1900,6.4,91.95,0,0,0,336.4,2.21,254,101360
20180322:2000,6.31,91.8,0,0,0,334.6,2.76,250,101340
20180322:2100,6.1,89.8,0,0,0,336.6,3.1,250,101300
20180322:2200,5.75,86.7,0,0,0,336.2,3.17,250,101290
20180322:2300,5.33,84.35,0,0,0,330.8,3.03,248,101210
20180323:0000,5.01,82.8,0,0,0,327.8,2.83,245,101140
20180323:0100,4.55,82.65,0,0,0,315.85,2.55,238,101060
20180323:0200,4.02,83.85,0,0,0,307.6,2.48,224,101000
20180323:0300,3.81,84.8,0,0,0,315.8,2.62,214,100930
20180323:0400,3.25,87.8,0,0,0,289.8,3.03,210,100870
20180323:0500,2.83,90.5,0,0,0,278.2,3.31,209,100781
20180323:0600,2.48,90.85,6,0,6,268.2,3.45,208,100711
20180323:0700,3.17,83.65,78,13.31,75,245.8,3.86,200,100661
20180323:0800,4.6,77.7,156,24.24,147,248.4,4.28,197,100591
20180323:0900,5.97,71.05,231,36.51,213,276.4,5.1,195,100521
20180323:1000,7.03,65.7,202,3.44,200,267.6,5.72,198,100461
20180323:1100,7.58,65,311,39.54,286,303.2,5.79,201,100381
20180323:1200,7.53,66.95,216,1.56,215,334,5.52,205,100321
20180323:1300,7.2,70.35,113,0,113,336,5.1,205,100242
20180323:1400,6.82,73.25,139,0,139,335.4,4.55,200,100192
20180323:1500,6.56,75.85,81,0,81,333.4,4.07,199,100132
20180323:1600,6.5,77.2,106,17.66,101,333.4,3.79,196,100072
20180323:1700,6.34,77.75,39,15.75,37,332.2,4,199,100022
20180323:1800,6.14,79.05,0,0,0,331.4,3.45,197,99992
20180323:1900,5.71,81.1,0,0,0,321.4,3.31,189,99982
20180323:2000,5.61,82.15,0,0,0,323.2,2.97,184,99962
20180323:2100,5.44,83.35,0,0,0,318.2,2.83,177,99902
20180323:2200,5.53,83,0,0,0,326.4,2.76,171,99902
20180323:2300,5.61,82.35,0,0,0,329.4,2.62,167,99872
20180324:0000,5.69,81.3,0,0,0,331.4,2.55,163,99842
20180324:0100,5.71,80.4,0,0,0,332.45,2.34,157,99822
20180324:0200,5.48,80.7,0,0,0,324.2,2.14,150,99802
20180324:0300,5.47,80,0,0,0,331.6,2.14,142,99762
20180324:0400,4.93,82.25,0,0,0,306.8,2.28,132,99772
20180324:0500,5.09,81.45,0,0,0,325.2,2.41,126,99782
20180324:0600,5.09,82.1,18,14.06,17,321.2,2.55,123,99792
20180324:0700,5.13,82.05,190,544.41,64,313.6,2.69,114,99862
20180324:0800,5.9,80.3,240,172.27,175,319.4,2.76,116,99892
20180324:0900,7.01,76.8,453,583.41,162,310,2.9,120,99932
20180324:1000,8.56,71.7,213,3.4,211,295.6,2.69,125,99962
20180324:1100,9.82,64.3,457,222.68,315,312.6,2.62,130,99962
20180324:1200,10.96,61.45,689,949.46,76,300.6,2.41,125,99962
20180324:1300,11.6,59,646,929.78,78,333.6,2,112,99952
20180324:1400,11.66,58.25,552,884.58,78,341.6,1.79,93,99942
20180324:1500,11.68,58.75,410,751.86,90,343.4,1.86,76,99952
20180324:1600,11.46,63.65,232,462.32,99,344,1.72,60,99962
20180324:1700,11.04,67.3,89,372.71,40,335.2,1.93,48,99982
20180324:1800,9.8,70.45,0,0,0,322.6,2.28,45,100022
20180324:1900,8.13,73.25,0,0,0,297.2,2.55,35,100092
20180324:2000,7.5,75.55,0,0,0,304.4,2.48,33,100162
20180324:2100,6.82,78.45,0,0,0,298.8,2.34,35,100192
20180324:2200,6.27,80.9,0,0,0,297.2,2.21,37,100242
20180324:2300,5.61,83.8,0,0,0,290.2,2.07,35,100242
20180325:0000,5.21,85.65,0,0,0,297.6,1.86,34,100232
20180325:0100,4.64,88.4,0,0,0,293,1.79,36,100242
20180325:0200,3.81,91.25,0,0,0,279.4,1.72,33,100271
20180325:0300,3.23,93.05,0,0,0,284.6,1.59,26,100291
20180325:0400,3.01,93.8,0,0,0,293.4,1.59,18,100341
20180325:0500,2.59,94.5,0,0,0,283.4,1.66,15,100391
20180325:0600,2.21,95.15,19,12.93,18,278.6,1.66,11,100441
20180325:0700,3.28,95.1,145,185.22,101,276.8,1.52,14,100521
20180325:0800,5.87,86.15,217,104.36,177,276.2,1.52,18,100581
20180325:0900,7.72,79.6,288,93.14,241,277.8,1.59,14,100641
20180325:1000,9.59,73.3,325,70.8,283,279.6,1.72,8,100701
20180325:1100,10.99,67.55,440,185.05,321,278,2,2,100741
20180325:1200,11.88,60.8,510,313.47,306,278.2,2.28,354,100791
20180325:1300,11.98,60.15,487,331.26,283,300,3.03,344,100801
20180325:1400,11.45,64,403,277.47,253,337.2,3.59,342,100821
20180325:1500,10.8,68.6,272,158.06,204,330.6,3.72,345,100860
20180325:1600,10.18,71.4,175,154.01,130,308.4,3.52,347,100890
20180325:1700,9.14,76.65,61,73.56,51,302.4,2.97,343,100950
20180325:1800,7.98,80.8,0,0,0,318.8,2.83,343,101010
20180325:1900,6.82,81.95,0,0,0,317.8,2.97,344,101090
20180325:2000,6.15,83.75,0,0,0,314,2.69,352,101130
20180325:2100,5.43,86.7,0,0,0,296.2,2.34,355,101170
20180325:2200,4.78,89.8,0,0,0,285.8,2.14,351,101220
20180325:2300,4.27,92.15,0,0,0,284.2,2,348,101250
20180326:0000,3.59,94.45,0,0,0,269.8,1.93,347,101250
20180326:0100,3.12,95.65,0,0,0,268,1.86,341,101290
20180326:0200,2.55,97.05,0,0,0,261.2,1.72,333,101310
20180326:0300,2.15,98.05,0,0,0,268.2,1.66,324,101320
20180326:0400,1.72,98.8,0,0,0,267.6,1.66,319,101360
20180326:0500,1.4,99.3,0,0,0,270,1.59,312,101409
20180326:0600,1.07,99.6,16,0,16,265,1.59,300,101449
20180326:0700,2.37,99.1,94,20.52,89,252.4,1.03,282,101509
20180326:0800,5.31,91.75,136,5.14,134,284.8,0.97,266,101529
20180326:0900,7.15,82.45,345,188.1,249,301,0.9,253,101549
