time,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190101:0000,5.86,89.59,0,0,0,304.07,3.96,254,103196
20190101:0100,6.03,89.62,0,0,0,307.33,3.81,254,103166
20190101:0200,6.19,89.66,0,0,0,310.59,3.66,258,103166
20190101:0300,6.36,89.69,0,0,0,313.85,3.51,260,103116
20190101:0400,6.53,89.72,0,0,0,317.12,3.36,261,103067
20190101:0500,6.69,89.76,0,0,0,320.38,3.21,266,103027
20190101:0600,6.86,89.79,0,0,0,323.64,3.06,270,103007
20190101:0700,7.02,89.83,0,0,0,326.9,2.91,261,103007
20190101:0800,6.13,89.95,0,0,0,304.4,3.45,259,103017
20190101:0900,6.75,89.35,52,20.95,49,337.6,3.72,262,103027
20190101:1000,7.25,89.2,50,0,50,340.4,3.86,269,103007
20190101:1100,7.73,89,37,0,37,342.4,4,276,102997
20190101:1200,8.29,88.5,37,0,37,346.2,4.21,284,102927
20190101:1300,8.73,88.75,53,0,53,349,4.28,296,102907
20190101:1400,9.04,89.25,41,0,41,349.6,4.21,314,102947
20190101:1500,8.96,88,13,0,13,347.2,4.48,336,102997
20190101:1600,8.46,81.1,0,0,0,340.4,4.41,346,103086
20190101:1700,7.62,75.05,0,0,0,314.4,4.21,343,103156
20190101:1800,7.08,72.5,0,0,0,306.6,4.14,335,103186
20190101:1900,6.7,76,0,0,0,295.6,4.21,328,103236
20190101:2000,6.36,75.3,0,0,0,283.4,4.41,333,103296
20190101:2100,6.36,70.8,0,0,0,307.8,4.48,340,103346
20190101:2200,6.1,69,0,0,0,297.2,4.07,340,103386
20190101:2300,5.91,66.5,0,0,0,293.4,3.93,336,103416
20190102:0000,5.8,63.5,0,0,0,292.6,4.14,337,103456
20190102:0100,5.6,63.9,0,0,0,283,4.28,343,103486
20190102:0200,5.48,63.8,0,0,0,282,4.07,343,103546
20190102:0300,5.55,62.1,0,0,0,290.4,4,343,103546
20190102:0400,5.64,61.25,0,0,0,298,3.86,342,103576
20190102:0500,5.69,61.65,0,0,0,300.8,3.79,344,103586
20190102:0600,5.47,63.95,0,0,0,286.6,3.66,345,103596
20190102:0700,5.14,66.1,0,0,0,278.2,3.59,348,103635
20190102:0800,5.33,66.7,0,0,0,297.2,3.45,349,103705
20190102:0900,5.5,69.35,64,55.63,56,291,3.38,350,103755
20190102:1000,6.05,70.65,92,22.33,87,277,3.66,353,103795
20190102:1100,6.73,70.3,135,59.68,119,273.6,3.24,353,103805
20190102:1200,7.03,66.7,138,62.19,121,275.8,3.72,358,103775
20190102:1300,7.18,60.5,99,25.07,93,285.6,4.28,2,103775
20190102:1400,6.89,63,60,11.88,58,277.8,3.59,360,103795
20190102:1500,6.16,65.9,22,45.93,19,253.4,2.97,354,103815
20190102:1600,4.93,70.45,0,0,0,254,2.48,347,103835
20190102:1700,3.94,75.35,0,0,0,251.6,2.41,342,103865
20190102:1800,3.25,78.7,0,0,0,250,2.41,344,103865
20190102:1900,2.84,81.55,0,0,0,249.2,2.28,344,103895
20190102:2000,2.29,84.15,0,0,0,250,2.21,343,103905
20190102:2100,1.82,86.2,0,0,0,256.4,2.07,345,103885
20190102:2200,1.42,87.95,0,0,0,262.8,1.86,344,103855
20190102:2300,1.36,88.95,0,0,0,276.6,1.72,341,103855
20190103:0000,1.86,88.9,0,0,0,297.8,1.52,331,103855
20190103:0100,1.73,89.6,0,0,0,286,1.59,314,103885
20190103:0200,1.98,90.05,0,0,0,300,1.52,294,103925
20190103:0300,2.27,89.85,0,0,0,304,1.59,288,103915
20190103:0400,2.31,90.2,0,0,0,297.2,1.66,296,103875
20190103:0500,2.22,91.35,0,0,0,292.2,1.72,307,103855
20190103:0600,2.34,92.4,0,0,0,300,1.66,314,103855
20190103:0700,3.23,90.6,0,0,0,317.4,1.79,336,103865
20190103:0800,3.25,91.3,0,0,0,307,1.79,330,103915
20190103:0900,3.43,92,91,221.34,59,299.6,1.66,325,103925
20190103:1000,4.52,88.85,158,275.6,96,289.4,1.45,328,103965
20190103:1100,5.27,84.75,186,237.51,122,279,1.59,330,103955
20190103:1200,6.02,78.55,76,0,76,290.4,2,349,103885
20190103:1300,6.15,76.3,114,49.73,102,283,2.28,357,103855
20190103:1400,6.07,77.45,83,76.23,70,287.6,1.93,347,103855
20190103:1500,5.74,80.05,34,177.5,22,292.6,1.66,337,103915
20190103:1600,5.1,82.45,0,0,0,298.4,1.79,332,103935
20190103:1700,4.32,85.25,0,0,0,283.2,2,336,103935
20190103:1800,3.91,86.2,0,0,0,287,1.93,342,103945
20190103:1900,3.74,88.2,0,0,0,303.4,1.79,341,103935
20190103:2000,3.01,91.1,0,0,0,273.6,2,336,103915
20190103:2100,2.43,92.9,0,0,0,264,2.07,347,103905
20190103:2200,2.13,94,0,0,0,268.4,1.93,351,103925
20190103:2300,1.96,94.9,0,0,0,278.6,1.79,342,103915
20190104:0000,2.49,94.95,0,0,0,309.4,1.59,335,103905
20190104:0100,2.91,94.55,0,0,0,313.05,1.59,324,103895
20190104:0200,2.87,94.9,0,0,0,299.8,1.72,312,103935
20190104:0300,3.17,94.9,0,0,0,311.4,1.66,311,103925
20190104:0400,3.41,94.8,0,0,0,311.6,1.72,319,103865
20190104:0500,3.63,94.5,0,0,0,313.2,1.72,322,103855
20190104:0600,3.94,93.55,0,0,0,320.8,1.79,321,103825
20190104:0700,3.99,90.5,0,0,0,319.8,1.86,325,103865
20190104:0800,3.96,88.8,0,0,0,315.6,2.07,315,103905
20190104:0900,3.86,87.5,85,171.87,60,297.8,2.34,308,103915
20190104:1000,4.29,84,75,4.42,74,292.4,2.41,304,103935
20190104:1100,4.49,77.6,80,0,80,269.8,3.52,306,103845
20190104:1200,4.52,73.65,110,14.45,106,267.4,4.14,307,103805
20190104:1300,4.44,71.35,82,4.11,81,292.8,4.41,313,103685
20190104:1400,4.2,71.6,19,0,19,309.8,3.86,311,103765
20190104:1500,3.96,73.65,16,0,16,314.6,2.97,298,103725
20190104:1600,3.59,75.95,0,0,0,302,2.83,293,103665
20190104:1700,3.36,78.85,0,0,0,301.6,2.76,288,103695
20190104:1800,3.59,80,0,0,0,318.4,2.83,281,103655
20190104:1900,3.58,81.3,0,0,0,317.4,3.24,271,103626
20190104:2000,3.95,82.35,0,0,0,319.2,3.31,276,103606
20190104:2100,4.29,83.9,0,0,0,316.2,3.03,285,103576
20190104:2200,4.71,84.85,0,0,0,320,2.9,290,103546
20190104:2300,5.09,85.25,0,0,0,323.4,2.9,292,103526
20190105:0000,5.33,86,0,0,0,321.2,2.97,296,103476
20190105:0100,5.7,86.35,0,0,0,326.85,3.1,300,103436
20190105:0200,5.85,87.4,0,0,0,320.6,3.1,305,103436
20190105:0300,6.16,87.4,0,0,0,328.6,3.17,309,103426
20190105:0400,6.36,88.1,0,0,0,329.2,3.31,311,103386
20190105:0500,6.44,89.6,0,0,0,324.6,3.45,312,103366
20190105:0600,6.59,90.45,0,0,0,329,3.72,316,103336
20190105:0700,6.34,87.85,0,0,0,323.8,3.79,318,103336
20190105:0800,6.21,88.95,0,0,0,311.6,3.79,319,103346
20190105:0900,6.5,87,19,0,19,325.8,3.79,317,103376
20190105:1000,6.7,84.5,73,4.4,72,323,4,316,103396
20190105:1100,6.83,81.85,42,0,42,320.4,3.93,313,103406
20190105:1200,6.71,76.75,44,0,44,335,4.69,316,103356
20190105:1300,6.4,78.9,38,0,38,325.8,3.93,307,103336
20190105:1400,6.12,79.7,27,0,27,328.2,3.93,304,103336
20190105:1500,5.98,79.95,10,0,10,329,3.86,302,103366
20190105:1600,5.67,81.3,0,0,0,324.8,3.52,300,103376
20190105:1700,5.38,82.9,0,0,0,317,3.31,299,103376
20190105:1800,5.3,83.45,0,0,0,320.4,3.31,297,103406
20190105:1900,5.03,80.75,0,0,0,319,3.52,299,103406
20190105:2000,4.82,81.05,0,0,0,314,3.52,297,103386
20190105:2100,4.62,81.4,0,0,0,312.4,3.45,295,103356
20190105:2200,4.49,81.75,0,0,0,310.8,3.31,296,103376
20190105:2300,4.46,81.7,0,0,0,314.2,3.24,297,103386
20190106:0000,4.46,81.65,0,0,0,313.8,3.17,295,103386
20190106:0100,4.56,81.3,0,0,0,320.25,3.1,294,103346
20190106:0200,4.58,81.75,0,0,0,316.6,2.9,294,103356
20190106:0300,4.62,82.2,0,0,0,318.6,2.62,293,103376
20190106:0400,4.54,83.5,0,0,0,314.8,2.41,291,103296
20190106:0500,4.43,84.9,0,0,0,312.8,2.28,288,103266
20190106:0600,4.15,86.95,0,0,0,301.4,2.28,285,103236
20190106:0700,4.26,84.9,0,0,0,317.2,2,284,103286
20190106:0800,4.32,86.15,0,0,0,320.6,1.59,276,103316
20190106:0900,4.45,87.65,18,0,18,315.8,1.45,262,103326
20190106:1000,4.92,87,20,0,20,312.2,1.52,258,103346
20190106:1100,5.68,83.4,50,0,50,320.6,1.66,265,103356
20190106:1200,6.04,81.7,32,0,32,315.2,1.66,268,103316
20190106:1300,6.32,79.75,53,0,53,319.2,1.59,271,103296
20190106:1400,6.31,79.85,26,0,26,299.4,1.45,280,103286
20190106:1500,6.11,82.45,14,0,14,312.6,1.24,268,103296
20190106:1600,5.63,85,0,0,0,313.4,1.38,274,103326
20190106:1700,5.19,87.55,0,0,0,315.2,1.38,283,103326
20190106:1800,4.95,89.25,0,0,0,320,1.38,285,103336
20190106:1900,4.86,92.85,0,0,0,314,1.45,288,103366
20190106:2000,4.52,94.45,0,0,0,311.4,1.38,281,103376
20190106:2100,3.77,95.95,0,0,0,294.2,1.45,273,103356
20190106:2200,3.65,96.25,0,0,0,308.2,1.38,272,103396
20190106:2300,3.01,96.85,0,0,0,287,1.59,263,103396
20190107:0000,2.44,97.35,0,0,0,280,1.72,259,103386
20190107:0100,2.21,97,0,0,0,279.8,1.79,263,103396
20190107:0200,1.77,96.7,0,0,0,265.8,1.93,261,103396
20190107:0300,1.67,96.3,0,0,0,272.2,2,245,103356
20190107:0400,1.78,96.1,0,0,0,277.6,2.07,242,103346
20190107:0500,1.91,95.9,0,0,0,274.8,2.14,243,103306
20190107:0600,2.52,95.65,0,0,0,292,2.14,238,103256
20190107:0700,4.34,94.4,0,0,0,328.4,2,247,103266
20190107:0800,5.23,94.35,0,0,0,336.2,2.21,244,103256
20190107:0900,5.91,94.95,13,0,13,336.6,2.41,238,103216
20190107:1000,6.61,94.9,98,34.71,90,339.2,2.28,232,103206
20190107:1100,7.08,94.15,26,0,26,339.2,2.69,229,103156
20190107:1200,7.53,92.7,81,0,81,337,3.1,227,103057
20190107:1300,7.86,90.9,123,63.95,107,331,4.14,235,102947
20190107:1400,8.07,88.75,19,0,19,330,4.34,237,102887
20190107:1500,8.19,87.05,8,0,8,335,4.69,241,102817
20190107:1600,8.15,85.85,0,0,0,332.2,4.83,242,102737
20190107:1700,8.18,86.45,0,0,0,340.4,4.97,244,102657
20190107:1800,8.27,89,0,0,0,345.4,5.24,243,102567
20190107:1900,8.4,88.8,0,0,0,346.6,5.31,245,102488
20190107:2000,8.81,90.3,0,0,0,348.2,5.59,254,102418
20190107:2100,9.15,90,0,0,0,351.6,5.93,257,102328
20190107:2200,9.28,88.45,0,0,0,352.8,6.07,263,102268
20190107:2300,9.31,87.2,0,0,0,352,6.07,272,102218
20190108:0000,9.05,89.25,0,0,0,342.2,6.41,284,102168
20190108:0100,8.64,87.1,0,0,0,326.25,6.21,294,102168
20190108:0200,7.86,84.6,0,0,0,293.2,5.59,296,102148
20190108:0300,7.27,82.55,0,0,0,286.6,5.45,292,102128
20190108:0400,6.75,83,0,0,0,270,5.45,292,102078
20190108:0500,6.57,83.75,0,0,0,276.6,5.52,294,102038
20190108:0600,6.42,84.3,0,0,0,271,5.59,297,101998
20190108:0700,6.42,82.75,0,0,0,268,5.86,298,101998
20190108:0800,6.56,80.8,0,0,0,277.6,6.28,305,102038
20190108:0900,6.91,77.7,101,286.17,58,277.4,6.69,310,102048
20190108:1000,7.23,75.3,159,249.81,101,272,7.1,314,102098
20190108:1100,7.52,73.7,148,79.08,126,296.4,7.45,315,102108
20190108:1200,7.65,76,248,543.47,93,298,6.69,313,102068
20190108:1300,7.57,75.8,137,91.02,114,282,8,316,102048
20190108:1400,7.34,76.45,90,76.55,76,272,8.07,321,102038
20190108:1500,7.19,75.85,8,0,8,297.6,8,324,102068
20190108:1600,6.6,77.65,0,0,0,270.6,6.9,323,102118
20190108:1700,6.29,78.35,0,0,0,281.2,6.76,323,102118
20190108:1800,5.95,79.3,0,0,0,271.2,6.62,324,102138
20190108:1900,5.69,79,0,0,0,277.4,6.55,327,102148
20190108:2000,5.49,78.3,0,0,0,271.6,6.34,327,102168
20190108:2100,5.52,75.2,0,0,0,287,6.07,326,102128
20190108:2200,5.38,73.55,0,0,0,273.2,5.79,324,102128
20190108:2300,5.44,72.2,0,0,0,287.4,5.72,323,102058
20190109:0000,5.24,72.85,0,0,0,268.2,5.79,325,102038
20190109:0100,4.93,76.1,0,0,0,277,6.07,330,102018
20190109:0200,4.71,80,0,0,0,287.8,5.93,331,102018
20190109:0300,4.84,79.05,0,0,0,291,6.14,336,101998
20190109:0400,4.93,79.05,0,0,0,303.4,5.93,340,101998
20190109:0500,4.71,79.05,0,0,0,297.4,5.59,343,101968
20190109:0600,4.38,79.25,0,0,0,278,5.24,347,101988
20190109:0700,4.04,81,0,0,0,277.2,4.62,347,101988
20190109:0800,3.78,82.85,0,0,0,269.8,4.62,348,102018
20190109:0900,4.08,84.2,62,32.94,57,270.2,4.76,349,102108
20190109:1000,4.83,84.5,206,594.03,67,273,5.03,350,102148
20190109:1100,5.38,82,261,681.36,70,281.2,4.48,345,102158
20190109:1200,6.07,77.1,272,712.81,67,276.4,5.17,346,102118
20190109:1300,6.26,74.25,203,407.33,99,268.2,5.03,351,102108
20190109:1400,6.25,71.55,138,371.58,69,259.6,5.1,360,102128
20190109:1500,5.88,67.6,40,119.82,30,265.4,4.97,6,102178
20190109:1600,5.02,66.6,0,0,0,247.2,4.41,6,102218
20190109:1700,4.32,67.45,0,0,0,239.4,4.34,7,102218
20190109:1800,3.93,68,0,0,0,241.6,4.14,9,102278
20190109:1900,3.38,70.9,0,0,0,240,3.86,5,102338
20190109:2000,3.22,71.45,0,0,0,245.2,3.66,7,102358
20190109:2100,3,72.1,0,0,0,248.2,3.38,6,102398
20190109:2200,2.95,72.5,0,0,0,260.4,3.17,6,102438
20190109:2300,2.75,74.1,0,0,0,259.6,2.97,6,102468
20190110:0000,2.55,75.85,0,0,0,259.6,2.9,5,102458
20190110:0100,2.1,78.6,0,0,0,246.2,2.83,3,102478
20190110:0200,1.89,80.1,0,0,0,248.8,2.83,6,102517
20190110:0300,1.6,81.85,0,0,0,246.4,2.69,10,102547
20190110:0400,1.22,84.05,0,0,0,246.6,2.41,8,102547
20190110:0500,0.55,86.15,0,0,0,232.6,2.34,6,102567
20190110:0600,0.64,86.95,0,0,0,266.4,2.07,5,102577
20190110:0700,0.96,91.5,0,0,0,289.4,1.66,8,102587
20190110:0800,1.21,91.7,0,0,0,299,1.45,0,102637
20190110:0900,1.82,91.2,52,13.04,50,300,1.31,348,102697
20190110:1000,3.09,86.2,67,0,67,299.8,1.03,336,102707
20190110:1100,3.97,81.4,133,46.01,120,302.6,1.1,330,102697
20190110:1200,4.52,77.3,118,20.68,112,304,1.24,333,102667
20190110:1300,4.7,74.9,86,3.88,85,303.8,1.31,327,102637
20190110:1400,4.75,74.95,78,31.82,72,302.8,1.24,316,102637
20190110:1500,4.55,78.9,30,34.7,27,296.2,0.97,295,102637
20190110:1600,3.95,82.65,0,0,0,291.4,1.38,272,102627
20190110:1700,3.51,85.8,0,0,0,307,1.52,262,102617
20190110:1800,3.32,87.55,0,0,0,310.2,1.52,253,102637
20190110:1900,3.13,90.4,0,0,0,313,1.24,243,102647
20190110:2000,3.06,91.25,0,0,0,314,1.45,236,102637
20190110:2100,3.01,91.9,0,0,0,312.4,1.66,231,102617
20190110:2200,3.08,92.6,0,0,0,316.6,1.86,225,102607
20190110:2300,3.15,93.4,0,0,0,318,2.07,226,102587
20190111:0000,3.28,94.55,0,0,0,321,2.28,231,102557
20190111:0100,3.5,95.45,0,0,0,324.65,2.41,235,102527
20190111:0200,3.74,95.85,0,0,0,327.2,2.55,238,102498
20190111:0300,3.96,96.1,0,0,0,329.6,2.83,238,102448
20190111:0400,4.2,96.4,0,0,0,332.4,2.97,239,102418
20190111:0500,4.59,96.85,0,0,0,336.4,2.69,248,102348
20190111:0600,5.45,97.05,0,0,0,338.4,2.21,290,102358
20190111:0700,6.25,97.45,0,0,0,338.8,2.76,336,102398
20190111:0800,6.89,95.35,5,0,5,336.4,3.24,349,102468
20190111:0900,7.01,94.2,74,77.34,62,331.4,2.97,345,102508
20190111:1000,7.29,93.25,128,96.64,105,324.4,2.62,331,102547
20190111:1100,7.85,91.85,187,203.57,129,301.4,2.62,323,102547
20190111:1200,8.14,90.35,194,204.97,134,308,3.24,319,102517
20190111:1300,8.02,88.8,79,3.83,78,323,4.62,331,102488
20190111:1400,7.87,88.7,91,67.85,78,320,4.97,335,102468
20190111:1500,7.61,90.55,38,78.19,31,311,4.21,331,102508
20190111:1600,6.82,92.3,0,0,0,283.8,3.66,323,102537
20190111:1700,6.55,92.8,0,0,0,303,3.59,317,102547
20190111:1800,6.29,92.55,0,0,0,298,3.52,313,102557
20190111:1900,6.24,90.8,0,0,0,315.8,3.38,312,102587
20190111:2000,6.26,90.45,0,0,0,321.4,3.38,310,102607
20190111:2100,6.19,90.45,0,0,0,323.2,3.17,307,102597
20190111:2200,5.84,91.6,0,0,0,308.6,2.97,300,102597
20190111:2300,5.69,92.6,0,0,0,311.6,2.97,293,102597
20190112:0000,5.3,94.35,0,0,0,294.6,2.97,283,102557
20190112:0100,5.11,95.6,0,0,0,299,2.97,272,102517
20190112:0200,4.9,96.55,0,0,0,300.8,3.03,262,102498
20190112:0300,4.7,97.2,0,0,0,303.6,3.17,253,102418
20190112:0400,4.58,97.65,0,0,0,318.8,3.52,252,102388
20190112:0500,4.42,97.9,0,0,0,325.8,3.72,251,102318
20190112:0600,4.34,97.55,0,0,0,325.8,3.66,247,102248
20190112:0700,4.71,91.65,0,0,0,308,3.79,243,102208
20190112:0800,4.86,90.75,2,0,2,300.8,4.14,242,102158
20190112:0900,5.34,90.85,25,0,25,297.8,4.41,243,102098
20190112:1000,6.15,92,28,0,28,318.8,4.83,248,102038
20190112:1100,6.82,92.25,83,0,83,330.4,5.24,254,101978
20190112:1200,7.24,91.6,91,3.38,90,342.6,5.52,255,101839
20190112:1300,7.49,91.4,58,0,58,344.8,5.31,258,101769
20190112:1400,7.94,89.95,92,61.64,80,344.6,5.79,271,101649
20190112:1500,8.1,90.5,44,107.87,34,340.4,6.41,282,101649
20190112:1600,7.87,89.6,0,0,0,337.8,6.28,290,101609
20190112:1700,7.5,88.8,0,0,0,314.8,5.52,290,101599
20190112:1800,7.29,89.2,0,0,0,308,5.24,287,101579
20190112:1900,7.48,91,0,0,0,321.8,5.1,286,101549
20190112:2000,7.39,90.35,0,0,0,319.4,4.83,285,101549
20190112:2100,7.44,89.8,0,0,0,335.6,4.69,281,101489
20190112:2200,7.46,89.95,0,0,0,339.8,4.48,276,101469
20190112:2300,7.51,90.25,0,0,0,342.4,4.48,272,101449
20190113:0000,7.57,91,0,0,0,343.2,4.69,269,101389
20190113:0100,7.69,93.35,0,0,0,344.65,4.97,273,101320
20190113:0200,8.1,93.9,0,0,0,346.6,5.1,278,101280
20190113:0300,8.55,93.75,0,0,0,349.6,5.45,282,101260
20190113:0400,8.84,92.9,0,0,0,351,5.59,284,101170
20190113:0500,8.88,91.55,0,0,0,350.8,5.66,280,101120
20190113:0600,8.82,90.1,0,0,0,346.8,6.07,279,101090
20190113:0700,8.8,89.5,0,0,0,349.2,5.59,276,101010
20190113:0800,8.7,88.95,6,0,6,341.2,5.86,279,101070
20190113:0900,8.78,88.35,69,50.31,61,341.6,5.66,277,101010
20190113:1000,9.1,86.9,84,8.25,82,343.6,5.86,276,100940
20190113:1100,9.28,85.45,28,0,28,340.4,6.07,275,100890
20190113:1200,9.46,83.9,51,0,51,347.8,6.21,275,100801
20190113:1300,9.43,83.25,48,0,48,348.4,6.34,276,100721
20190113:1400,9.54,82.7,88,50.54,78,347.8,6.62,278,100631
20190113:1500,9.59,82.15,57,260.51,32,350.6,6.69,280,100661
20190113:1600,9.65,82.15,0,0,0,351.4,6.9,284,100631
20190113:1700,9.77,81.35,0,0,0,350.6,7.24,285,100631
20190113:1800,9.69,80.3,0,0,0,343.4,7.59,284,100581
20190113:1900,8.89,85.8,0,0,0,329.4,6.62,289,100571
20190113:2000,8.3,87.6,0,0,0,301.2,6.69,297,100621
20190113:2100,7.69,87.25,0,0,0,304.4,6,305,100671
20190113:2200,7.24,84.55,0,0,0,300.8,5.79,310,100751
20190113:2300,7.16,83,0,0,0,306.4,5.52,307,100791
20190114:0000,6.77,82.35,0,0,0,283,5.45,307,100830
20190114:0100,6.59,84.55,0,0,0,297.8,5.24,308,100890
20190114:0200,6.36,84.9,0,0,0,294.4,5.03,311,100980
20190114:0300,6.24,84.75,0,0,0,290.2,4.69,308,101050
20190114:0400,6.14,84.85,0,0,0,295.8,4.83,305,101090
20190114:0500,6.12,84.65,0,0,0,293.6,4.9,306,101150
20190114:0600,6.09,83.9,0,0,0,290,5.1,305,101210
20190114:0700,5.88,82.4,0,0,0,293.8,5.1,309,101270
20190114:0800,5.75,86.5,17,63.65,14,292.8,4.97,312,101360
20190114:0900,5.92,87.7,63,24.82,59,268.4,4.76,318,101429
20190114:1000,6.5,85.35,30,0,30,292.8,4.69,330,101519
20190114:1100,7.01,83.1,213,280.17,131,299.8,4.07,330,101579
20190114:1200,7.15,80.5,33,0,33,265.2,4.21,330,101599
20190114:1300,7.39,77.8,243,625.81,74,276.6,4.21,324,101689
20190114:1400,6.89,78.6,165,512,62,275.8,4,323,101739
20190114:1500,6.25,79.1,52,151.03,37,285,3.79,324,101819
20190114:1600,5.71,82.55,0,0,0,297,3.38,324,101879
20190114:1700,4.96,86.9,0,0,0,277,2.62,319,101939
20190114:1800,4.22,90.75,0,0,0,268.6,2.14,303,101958
20190114:1900,3.46,91.8,0,0,0,263,2.21,285,101998
20190114:2000,2.98,92.6,0,0,0,261,2.07,276,102028
20190114:2100,2.62,93.15,0,0,0,264,2,265,102048
20190114:2200,2.59,93.6,0,0,0,280.8,1.86,253,102038
20190114:2300,2.2,94.3,0,0,0,267.4,2.07,237,102058
20190115:0000,2.3,94.7,0,0,0,276.8,2.28,224,102028
20190115:0100,2.81,94.75,0,0,0,292.8,2.62,222,102018
20190115:0200,2.84,95.35,0,0,0,273,2.97,224,102028
20190115:0300,3.43,95.2,0,0,0,299.2,3.24,228,102008
20190115:0400,3.81,95.3,0,0,0,303.2,3.45,236,101968
20190115:0500,3.81,95.4,0,0,0,289.6,3.38,242,101939
20190115:0600,3.65,95.25,0,0,0,284.8,3.24,242,101919
20190115:0700,3.03,92.45,0,0,0,255.8,3.24,237,101899
20190115:0800,2.88,92.3,24,224.18,13,263.4,3.45,235,101899
20190115:0900,3.62,90.8,131,514.2,47,273.6,3.72,236,101899
20190115:1000,4.79,89.15,96,16.17,92,257,3.59,236,101889
20190115:1100,6.03,86.55,79,0,79,268.4,4,240,101849
20190115:1200,7.29,81.3,88,0,88,275.8,5.03,249,101799
20190115:1300,7.89,81.05,77,0,77,285,4.69,252,101759
20190115:1400,7.98,82,74,14.67,71,332.4,4.07,250,101699
20190115:1500,7.99,82,52,126.51,39,337.2,3.93,250,101679
20190115:1600,7.87,82.35,0,0,0,334,3.93,248,101689
20190115:1700,7.74,82.9,0,0,0,333.6,4,244,101649
20190115:1800,7.69,82.9,0,0,0,335.8,4.14,240,101629
20190115:1900,7,83.95,0,0,0,326,4.28,232,101589
20190115:2000,6.99,84.65,0,0,0,327.4,4.55,229,101559
20190115:2100,7.01,85.3,0,0,0,332.8,4.69,228,101519
20190115:2200,6.8,86.6,0,0,0,324.8,4.69,227,101499
20190115:2300,6.69,86.8,0,0,0,328,4.69,226,101459
20190116:0000,6.58,86.8,0,0,0,323.8,4.76,225,101389
20190116:0100,6.72,84.85,0,0,0,335.65,4.83,224,101340
20190116:0200,6.74,82.75,0,0,0,334.2,4.69,223,101280
20190116:0300,6.67,80.4,0,0,0,332.4,4.62,221,101220
20190116:0400,6.53,78.2,0,0,0,334.4,4.69,220,101150
20190116:0500,6.28,76.9,0,0,0,336,4.76,217,101110
20190116:0600,5.95,75.8,0,0,0,333,4.69,215,101030
20190116:0700,5.69,75.2,0,0,0,335.2,4.83,212,100990
20190116:0800,5.27,76.3,13,19.56,12,326.6,4.69,208,100960
20190116:0900,5.07,77.75,70,42.24,63,328.2,4.62,208,100950
20190116:1000,5.07,78.6,164,215.95,110,318.6,4.62,205,100880
20190116:1100,5.19,78.15,146,53.62,130,307,4.83,206,100791
20190116:1200,5.7,76,169,94.31,140,284.8,5.1,208,100691
20190116:1300,5.81,77.2,188,238.55,122,296.2,5.03,209,100571
20190116:1400,5.96,78.55,109,96.14,89,285.4,4.76,207,100451
20190116:1500,5.9,80,32,9.41,31,297.6,4.62,208,100401
20190116:1600,5.67,80.75,0,0,0,299.4,4.76,210,100361
20190116:1700,5.52,81.85,0,0,0,299.8,4.97,208,100271
20190116:1800,5.75,81.85,0,0,0,321,5.31,206,100202
20190116:1900,5.41,83.15,0,0,0,327.6,5.45,206,100122
20190116:2000,5.49,86.2,0,0,0,333.6,5.79,207,100082
20190116:2100,5.82,87.35,0,0,0,334.8,6.07,215,100052
20190116:2200,6.16,90.9,0,0,0,337,5.59,227,100112
20190116:2300,6.48,93.8,0,0,0,339.2,4.21,246,100152
20190117:0000,6.33,94.7,0,0,0,330.8,3.93,271,100182
20190117:0100,5.85,91.5,0,0,0,322.25,3.38,281,100202
20190117:0200,5.05,90.95,0,0,0,297,2.83,265,100172
20190117:0300,4.19,92.85,0,0,0,279.6,2.69,240,100162
20190117:0400,3.37,94.6,0,0,0,255.4,3.1,228,100132
20190117:0500,3.02,94.95,0,0,0,248,3.24,224,100072
20190117:0600,3.06,93.45,0,0,0,259.4,3.45,224,100052
20190117:0700,4.09,91.7,0,0,0,295.2,3.79,227,100032
20190117:0800,4.5,92.3,12,0,12,324.2,4.21,241,100072
20190117:0900,4.65,93.05,78,59.46,68,327.6,4.55,280,100202
20190117:1000,4.29,90.25,118,43.51,107,324.6,5.38,308,100311
20190117:1100,4.15,89.65,142,39.81,130,307.8,5.52,314,100391
20190117:1200,3.76,81.05,132,22.52,125,288,5.38,311,100501
20190117:1300,4.09,78.8,135,49.98,121,268.2,5.59,305,100601
20190117:1400,4.15,74.55,185,623.79,53,266.4,6.07,299,100661
20190117:1500,3.87,70.3,48,72.8,40,253.2,6.21,293,100761
20190117:1600,3.26,69.5,0,0,0,261.4,5.72,290,100860
20190117:1700,2.86,72.05,0,0,0,259.4,5.1,288,100950
20190117:1800,2.76,76.3,0,0,0,260.8,4.41,296,101040
20190117:1900,3.36,67.65,0,0,0,263.8,4.28,301,101150
20190117:2000,3.21,72.4,0,0,0,271.2,4.28,304,101260
20190117:2100,2.55,78.15,0,0,0,251.8,3.79,301,101320
20190117:2200,2.34,80.95,0,0,0,252.2,3.52,299,101389
20190117:2300,2.26,78.75,0,0,0,255.4,3.03,297,101449
20190118:0000,2.21,79.9,0,0,0,273.4,2.55,287,101489
20190118:0100,1.57,84.4,0,0,0,254.4,2.48,276,101539
20190118:0200,0.94,87.5,0,0,0,248.4,2.34,266,101589
20190118:0300,0.25,89.5,0,0,0,238.4,2.41,257,101629
20190118:0400,-0.25,90.45,0,0,0,231.4,2.41,254,101649
