,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Q_dot_evp,2.57872749531306,-0.128788720584073,-0.227300875525836,0.00391182188209453,0.00592354800265147,1.0563346838702E-06,-6.34587305008238E-08,-1.13773855019295E-08,-0.000255620759685948,5.7496354311613E-06,2.20484959710502E-06,0.00628826356599689,-0.000118093449692264,-6.94944717360761E-05,6.06431413038211E-05,-4.97291657124057E-05,0.00922522636674197,0.0112406844692266,0.01237315097792,-0.000154282571298785,-0.000340936580835912,-3.85026112525755E-06,2.58302602666422E-06,0.00252158316593565,-2.68827139097371E-05,-0.000188290587854718,2.77829344926184E-06,4.4741323738773E-06,6.32396768615378E-08,-3.3119037531908E-08
W_dot,1.01934926009743,0.000624496387627221,-0.096942481102663,-1.39449714839002E-05,0.00305094288836338,2.86508452144197E-07,-4.51554258408376E-09,-2.96498980373604E-09,-1.19506996240894E-05,9.26539020809976E-08,1.44336014955191E-07,-0.000351095979824284,-6.53266502256682E-06,5.51391688024635E-06,9.7296680833765E-06,-2.86022609971099E-05,-0.0769884815393967,5.12256395461779E-05,0.00727612970505102,6.06784903390253E-06,-0.000180794797732953,-3.16521447628954E-07,1.61284873197992E-06,0.00136403834281773,-5.71113664540113E-06,-0.000101997361915463,-1.4474708035013E-08,2.64830083164217E-06,2.15640940040477E-09,-2.18391577502099E-08
m_dot,40.8977160160568,-2.01048942455961,-3.53006306024255,0.0771013170701387,0.0899046469325732,1.36218406757656E-05,-1.2282570027297E-06,-7.75562321541536E-08,-0.00290884012139256,0.00012317505598601,2.27100600968683E-05,0.0882668078988734,-0.00237800235932078,-0.000765307175085198,0.00112116688177575,-0.000760140923447604,0.0963540048647226,0.170547828805946,0.207488475879288,-0.00341997990253699,-0.0049977609273368,-7.28963842289864E-05,3.59736071693721E-05,0.0398973964257949,-0.000446618901905826,-0.00286690709117004,5.33800656445247E-05,6.46285173566507E-05,1.19991977931723E-06,-4.37789248265628E-07
